Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Little Dolls,Diary Of A Madman,1981,5:39,4,0.355,0.791,8,-6.391,1,0.04,0.00514,0.000284,0.0782,0.799,107.413,35
Tonight,Diary Of A Madman,1981,5:50,3,0.215,0.664,8,-7.269,1,0.0379,0.294,0.0000383,0.148,0.418,173.994,35
Believer,Diary Of A Madman,1981,5:16,4,0.323,0.849,5,-6.367,0,0.0694,0.00761,0.00033,0.0925,0.365,100.512,40
S.A.T.O.,Diary Of A Madman,1981,4:07,1,0.267,0.956,4,-4.952,0,0.16,0.00207,0.0125,0.101,0.231,111.359,41
You Can't Kill Rock and Roll,Diary Of A Madman,1981,6:59,4,0.325,0.834,3,-7.239,1,0.0615,0.017,0.0000384,0.0772,0.314,135.066,44
Diary of a Madman,Diary Of A Madman,1981,6:16,4,0.253,0.72,3,-6.969,0,0.0451,0.145,0.000366,0.0713,0.354,174.345,48
Over the Mountain,Diary Of A Madman,1981,4:31,4,0.493,0.866,0,-5.665,1,0.0976,0.00178,0.0000223,0.0775,0.489,131.06,53
Flying High Again,Diary Of A Madman,1981,4:44,4,0.315,0.938,1,-6.264,1,0.086,0.00499,0.000056,0.19,0.527,125.277,53
One up the 'B' Side,Bark At The Moon,1983,3:24,4,0.448,0.912,7,-5.375,1,0.0502,0.00544,0.0000196,0.639,0.726,122.463,30
Spiders,Bark At The Moon,1983,4:25,4,0.358,0.673,4,-6.804,0,0.0535,0.0714,0.00742,0.0925,0.764,121.81,31
Slow Down,Bark At The Moon,1983,4:19,4,0.357,0.976,4,-5.162,1,0.133,0.0142,0.0000229,0.273,0.199,152.894,34
Now You See It (Now You Don't),Bark At The Moon,1983,5:05,4,0.428,0.841,9,-5.794,0,0.0613,0.00403,0.0000173,0.388,0.351,97.195,36
Centre of Eternity,Bark At The Moon,1983,5:24,4,0.356,0.951,2,-5.486,1,0.0614,0.0074,0.0000171,0.117,0.219,103.861,36
Waiting for Darkness,Bark At The Moon,1983,5:17,4,0.337,0.882,4,-6.168,0,0.046,0.00495,0.00000243,0.0687,0.437,121.524,36
Rock 'n' Roll Rebel,Bark At The Moon,1983,5:28,4,0.427,0.892,2,-5.377,1,0.041,0.00128,0,0.236,0.538,126.434,42
You're No Different,Bark At The Moon,1983,5:02,4,0.21,0.663,7,-6.365,1,0.0367,0.00851,0,0.243,0.287,82.717,43
So Tired,Bark At The Moon,1983,3:59,4,0.199,0.601,9,-6.136,1,0.0306,0.0635,0,0.112,0.391,175.506,43
Bark at the Moon,Bark At The Moon,1983,4:17,4,0.303,0.961,9,-5.333,0,0.243,0.00253,0.000062,0.132,0.305,146.591,63
Thank God for the Bomb,The Ultimate Sin,1986,3:52,4,0.516,0.966,1,-4.972,1,0.0575,0.021,0.00182,0.898,0.557,150.009,36
Never,The Ultimate Sin,1986,4:18,4,0.493,0.954,8,-5.887,0,0.0489,0.000389,0.00033,0.4,0.46,123.439,36
Fool Like You,The Ultimate Sin,1986,5:19,4,0.567,0.905,8,-6.241,1,0.0413,0.00167,0.0736,0.32,0.494,127.074,36
Never Know Why,The Ultimate Sin,1986,4:26,4,0.482,0.935,8,-6.299,0,0.0491,0.00158,0.0127,0.33,0.238,121.726,37
Lightning Strikes,The Ultimate Sin,1986,5:13,4,0.546,0.943,1,-6.664,1,0.0344,0.00878,0.000398,0.288,0.839,135.157,43
Killer of Giants,The Ultimate Sin,1986,5:41,4,0.32,0.715,10,-7.133,0,0.0308,0.0108,0.000538,0.284,0.22,152.195,44
Secret Loser,The Ultimate Sin,1986,4:08,4,0.529,0.979,6,-6.429,1,0.0723,0.00929,0.0000455,0.331,0.574,151.003,46
The Ultimate Sin,The Ultimate Sin,1986,3:43,4,0.564,0.91,1,-6.472,0,0.0467,0.000639,0.00633,0.0679,0.684,119.33,50
Shot in the Dark,The Ultimate Sin,1986,4:16,3,0.581,0.791,6,-7.262,1,0.0324,0.00835,0.0000602,0.142,0.619,123.887,61
"Miracle Man - Live at the Tower Theater, Philadelphia, PA - June 1989",No Rest for the Wicked,1988,3:48,4,0.268,0.955,11,-9.191,1,0.0601,0.0000186,0.0000775,0.947,0.0602,144.434,23
The Liar,No Rest for the Wicked,1988,4:30,4,0.32,0.618,6,-6.772,1,0.028,0.0118,0.00000153,0.0713,0.322,152.293,27
Hero,No Rest for the Wicked,1988,4:47,4,0.437,0.737,8,-7.51,1,0.0405,0.000723,0.000704,0.0667,0.182,111.414,30
Tattooed Dancer,No Rest for the Wicked,1988,3:53,4,0.259,0.924,8,-5.689,0,0.0771,0.0000246,0.00563,0.272,0.501,154.016,31
Devil's Daughter (Holy War),No Rest for the Wicked,1988,5:14,4,0.404,0.854,1,-6.512,1,0.0573,0.00405,0.0016,0.376,0.561,162.011,33
